Place Name,Suburb,Latitude,Longitude,Sports Played,Number of Field Courts,Field Surface Type,Facility Condition,Changerooms,Municipality,Address,Facility Name,Categories,Historical Information,Url
Frankston Indoor Sports,Seaford,-38.117445000000004,145.141387,Beach Volleyball,1.0,,,,Frankston,81 Hartnett Drive Seaford 3198,,"['Frankston', 'Seaford', 'Sports']",,
Frankston Motocycle & BMX Club,Seaford,-38.091557,145.147673,BMX,1.0,Dirt,,,Frankston,101 Old Wells Road Seaford 3198,,"['Frankston', 'Seaford', 'Sports']",,
Delacombe Park Reserve,Frankston South,-38.161916999999995,145.126653,Cricket,2.0,Synthetic Pitch,3. Average,Male,Frankston,Overport Road Frankston South 3199,,"['Frankston', 'Frankston South', 'Sports', 'Cricket']",,
Frank Street Reserve,Frankston,-38.14059,145.14426,Cricket,1.0,Synthetic Pitch,,,Frankston,Frank Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Cricket']",,
Seaford North Reserve,Seaford,-38.101721000000005,145.12982,Cricket,2.0,Synthetic Pitch,,Male,Frankston,Railway Parade Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Cricket']",,
Skye Recreation Reserve,Skye,-38.119555,145.219484,Cricket,1.0,Synthetic Pitch,4. Good,Male,Frankston,Ballarto Road Skye 3977,,"['Frankston', 'Skye', 'Sports', 'Cricket']",,
Worland Park Reserve,Frankston,-38.144834,145.159766,Cricket,1.0,Synthetic Pitch,,,Frankston,Belar Avenue Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Cricket']",,
Frankston Croquet Club,Frankston,-38.150344,145.123678,Croquet,3.0,Grass,4. Good,,Frankston,Nolan Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Croquet']",,
Langwarrin Club Grounds,Langwarrin,-38.161417,145.197596,Equestrian,,,,,Frankston,Cozy Valley Road Langwarrin 3910,,"['Frankston', 'Langwarrin', 'Sports']",,
Beach House Health & Fitness Frankston,Frankston,-38.141714,145.120857,Fitness / Gymnasium Workouts,1.0,,,,Frankston,444 Nepean Hwy Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Beachside Fitness Centre Seaford,Seaford,-38.100956,145.14300500000002,Fitness / Gymnasium Workouts,1.0,,,,Frankston,35 Brunel Road Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Gymnasium']",,
Chisolm Fitness Centre,Frankston,-38.138686,145.123274,Fitness / Gymnasium Workouts,1.0,,,,Frankston,Fletcher Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Contours Langwarrin,Langwarrin,-38.146357,145.17375800000002,Fitness / Gymnasium Workouts,1.0,,,,Frankston,397 McClelland Drive Langwarrin 3910,,"['Frankston', 'Langwarrin', 'Sports', 'Gymnasium']",,
Core Health Club,Frankston,-38.164002,145.13751100000002,Fitness / Gymnasium Workouts,1.0,,,,Frankston,1 Golf Links Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Curves Frankston,Frankston,-38.146794,145.123932,Fitness / Gymnasium Workouts,1.0,,,,Frankston,43 Davey Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Deeki Body Tone,Frankston South,-38.183816,145.141077,Fitness / Gymnasium Workouts,1.0,,,,Frankston,286 Frankston-Flinders Road Frankston South 3199,,"['Frankston', 'Frankston South', 'Sports', 'Gymnasium']",,
Energym Health & Fitness,Frankston,-38.129461,145.129853,Fitness / Gymnasium Workouts,1.0,,,,Frankston,25 Overton Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Goodlife Karingal,Frankston,-38.151257,145.16653,Fitness / Gymnasium Workouts,1.0,,,,Frankston,197 Karingal Drive Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Input Fitness,Frankston,-38.151546999999994,145.154086,Fitness / Gymnasium Workouts,1.0,,,,Frankston,224 Cranbourne Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Jetts Fitness,Langwarrin,-38.150595,145.195695,Fitness / Gymnasium Workouts,1.0,,,,Frankston,230 Cranbourne-Frankston Road Langwarrin 3910,,"['Frankston', 'Langwarrin', 'Sports', 'Gymnasium']",,
Lifestyle Leisure Centre,Frankston,-38.152503,145.11220600000001,Fitness / Gymnasium Workouts,1.0,,,,Frankston,313 Nepean Hwy Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
Lime Health & Fitness,Carrum Downs,-38.107734,145.163158,Fitness / Gymnasium Workouts,1.0,,,,Frankston,490 Frankston-Dandenong Road Carrum Downs 3201,,"['Frankston', 'Carrum Downs', 'Sports', 'Gymnasium']",,
Living Now Health & Fitness,Seaford,-38.115332,145.140792,Fitness / Gymnasium Workouts,1.0,,,,Frankston,42 Hartnett Drive Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Gymnasium']",,
Monash University,Frankston,-38.152440000000006,145.136785,Fitness / Gymnasium Workouts,1.0,,,,Frankston,Bloom Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
My Time Health & Fitness,Langwarrin,-38.145686,145.17484299999998,Fitness / Gymnasium Workouts,1.0,,,,Frankston,389 McClelland Drive Langwarrin 3910,,"['Frankston', 'Langwarrin', 'Sports', 'Gymnasium']",,
Not a Gym,Seaford,-38.115049,145.141128,Fitness / Gymnasium Workouts,1.0,,,,Frankston,46 Peninsula Boulevard Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Gymnasium']",,
Snap Fitness Frankston,Frankston,-38.140634000000006,145.124849,Fitness / Gymnasium Workouts,1.0,,,,Frankston,15-29 Beach Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Gymnasium']",,
XFC Gym,Carrum Downs,-38.098981,145.16709699999998,Fitness / Gymnasium Workouts,1.0,,,,Frankston,31 Lathams Road Carrum Downs 3201,,"['Frankston', 'Carrum Downs', 'Sports', 'Gymnasium']",,
Centenary Park Golf Course,Frankston,-38.132540999999996,145.175905,Golf,18.0,18 Hole Course - Public,3. Average,,Frankston,McClelland Drive Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Golf']",,
Frankston Golf Course,Frankston,-38.170266,145.147855,Golf,9.0,9 Hole Course - Public,,,Frankston,Golf Links Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Golf']",,
Long Island Country Club,Frankston,-38.127406,145.137662,Golf,18.0,18 Hole Course - Private,,,Frankston,Dandenong Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Golf']",,
Peninsula Country Golf Club,Frankston,-38.131453,145.157446,Golf,36.0,18 Hole Course - Private,,,Frankston,Skye Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Golf']",,
Sandhurst Club,Sandhurst,-38.078886,145.21071799999999,Golf,36.0,18 Hole Course - Private,,,Frankston,75 Sandhurst Boulevard Sandhurst 3977,,"['Frankston', 'Sandhurst', 'Sports', 'Golf']",,
Skye Public Golf Course,Skye,-38.117014000000005,145.210521,Golf,9.0,9 Hole Course - Public,,,Frankston,Ballarto Road Skye 3977,,"['Frankston', 'Skye', 'Sports', 'Golf']",,
Bayside Gymnastics (Langwarrin Park Primary School),Langwarrin,-38.151888,145.201576,Gymnastics,,,,,Frankston,North gateway Langwarrin 3910,,"['Frankston', 'Langwarrin', 'Sports', 'Gymnastics']",,
Dolphin Gymnastics Club,Carrum Downs,-38.10614,145.16573799999998,Gymnastics,,,,,Frankston,2 Amayla Cresent Carrum Downs 3201,,"['Frankston', 'Carrum Downs', 'Sports', 'Gymnastics']",,
Baxter Village Bowls Club,Frankston South,-38.176837,145.151124,Lawn Bowls,1.0,Grass,,,Frankston,Robinsons Road Frankston South 3199,,"['Frankston', 'Frankston South', 'Sports']",,
Carrum Bowling Club,Carrum Downs,-38.085431,145.124043,Lawn Bowls,2.0,Grass,,"Female, Male",Frankston,Nepean Hwy Carrum Downs 3201,,"['Frankston', 'Carrum Downs', 'Sports']",,
Frankston Bowling Club,Frankston,-38.151589,145.124906,Lawn Bowls,4.0,Grass,3. Average,"Female, Male",Frankston,Yuille Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports']",,
Frankston RSL Bowling Club,Frankston,-38.150896,145.148176,Lawn Bowls,2.0,Grass,,,Frankston,Cranbourne-Frankston Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports']",,
Karingal Bowling Club,Frankston,-38.137465999999996,145.156579,Lawn Bowls,2.0,Grass,,,Frankston,Skye Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports']",,
Seaford Bowls Club,Seaford,-38.106392,145.156353,Lawn Bowls,2.0,Grass,4. Good,"Female, Male",Frankston,East Road Seaford 3198,,"['Frankston', 'Seaford', 'Sports']",,
Yamala Park,Frankston South,-38.165625,145.10436299999998,Lawn Bowls,1.0,Grass,3. Average,,Frankston,Bowes Street Frankston South 3199,,"['Frankston', 'Frankston South', 'Sports']",,
Frankston Yacht Club,Frankston,-38.145515,145.117278,Sailing,,,,,Frankston,Long Island Drive Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Sailing']",,
Frankston Clay Target Club,Carrum Downs,-38.080355,145.16558999999998,Shooting Sports,1.0,,,,Frankston,Rossiter Road Carrum Downs 3201,,"['Frankston', 'Carrum Downs', 'Sports', 'Shooting']",,
Samuel Sherlock Reserve,Frankston,-38.145111,145.128132,Skating,1.0,,,,Frankston,Cranbourne Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Skating']",,
Sandfield Reserve,Carrum Downs,-38.105999,145.189722,Skating,1.0,,,,Frankston,Sandfield Drive Carrum Downs 3201,,"['Frankston', 'Carrum Downs', 'Sports', 'Skating']",,
Centenary Park,Frankston,-38.139322,145.175856,Soccer,3.0,Grass,3. Average,Male,Frankston,McClelland Drive Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Soccer']",,
Lawton Reserve,Langwarrin,-38.183784,145.17905,Soccer,5.0,Grass,4. Good,"Female, Male",Frankston,Barretts Road Langwarrin 3910,,"['Frankston', 'Langwarrin', 'Sports', 'Soccer']",,
Monterey Reserve,Frankston North,-38.120940999999995,145.151443,Soccer,3.0,Grass,3. Average,"Female, Male",Frankston,Monterey Boulevard Frankston North 3200,,"['Frankston', 'Frankston North', 'Sports', 'Soccer']",,
Frankston Life Saving Club,Frankston,-38.142608,145.11869099999998,Surf Life Saving,,,,,Frankston,Wells Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Surf']",,
Seaford Life Saving Club,Seaford,-38.103277,145.124822,Surf Life Saving,,,,,Frankston,Station Road Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Surf']",,
Frankston Regional Aquatic Health & Wellbeing Centre,Frankston,-38.153112,145.146219,Swimming,,,,,Frankston,Hillcrest Road Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Swimming']",,
Pines Forest,Frankston North,-38.123694,145.150925,Swimming,2.0,"50m Pool - Outdoor, Toddlers Pool",3. Average,"Female, Male",Frankston,Forest Drive Frankston North 3200,,"['Frankston', 'Frankston North', 'Sports', 'Swimming']",,
Belvedere Park Tennis Club,Seaford,-38.106383,145.151511,Tennis (Outdoor),9.0,Hard Court,2. Poor,,Frankston,East Road Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Tennis']",,
Crystal park,Seaford,-38.096677,145.131869,Tennis (Outdoor),5.0,Clay,3. Average,"Female, Male",Frankston,Halifax Street Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Tennis']",,
Frankston East Tennis Club,Frankston,-38.133495,145.176479,Tennis (Outdoor),13.0,Hard Court,3. Average,,Frankston,Centenary Park Drive Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Tennis']",,
Frankston Tennis Club,Frankston,-38.150096000000005,145.12636,Tennis (Outdoor),15.0,Hard Court,3. Average,,Frankston,Yuille Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Tennis']",,
Kananook Tennis Club,Seaford,-38.118932,145.12719199999998,Tennis (Outdoor),4.0,Hard Court,3. Average,,Frankston,Kananook Avenue Seaford 3198,,"['Frankston', 'Seaford', 'Sports', 'Tennis']",,
Karingal Tennis Club/ DELETE,Frankston,-38.14392,145.162035,Tennis (Outdoor),7.0,Hard Court,,,Frankston,Gretana Cresent Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Tennis']",,
Long Island Tennis Club,Frankston,-38.129326,145.12365,Tennis (Outdoor),4.0,Hard Court,2. Poor,,Frankston,Gould Street Frankston 3199,,"['Frankston', 'Frankston', 'Sports', 'Tennis']",,
Clow St Recreation Reserve,Dandenong,-37.984995,145.22906799999998,Athletics,1.0,Grass Running Track,,,Greater Dandenong,Clow Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Athletics']",,
Ross Reserve,Noble Park,-37.961328,145.171495,Athletics,1.0,Synthetic Running Track,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,Memorial Drive Noble Park 3174,,"['Greater Dandenong', 'Noble Park', 'Sports', 'Athletics']",,
Alex Nelson Reserve,Springvale,-37.974962,145.153433,Australian Rules Football,1.0,Grass,,,Greater Dandenong,Harold Road Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Football']",,
BJ Powell Reserve,Noble Park North,-37.953837,145.19387700000001,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Greater Dandenong,Halton Road Noble Park North 3174,,"['Greater Dandenong', 'Noble Park North', 'Sports', 'Football']",,
Dandenong Park (Shepley Oval),Dandenong,-37.9954,145.221365,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,Pultney Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Football']",,
Edinburgh Reserve,Mulgrave,-37.936376,145.168138,Australian Rules Football,1.0,Grass,3. Average,"Umpire/Officials, Unisex",Greater Dandenong,Dowling Avenue Mulgrave 3170,,"['Greater Dandenong', 'Mulgrave', 'Sports', 'Football']",,
Frederick Watcher Reserve,Keysborough,-37.986985,145.17481,Australian Rules Football,2.0,Grass,4. Good,"Female, Male, Umpire/Officials",Greater Dandenong,Bloomfield Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Football']",,
Greaves Reserve,Dandenong,-37.984195,145.197572,Australian Rules Football,3.0,Grass,4. Good,"Female, Male, Umpire/Officials",Greater Dandenong,Attenborough Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Football']",,
Keysborough Reserve,Keysborough,-37.994562,145.167688,Australian Rules Football,1.0,Grass,4. Good,"Female, Male, Umpire/Officials",Greater Dandenong,Cheltnam Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Football']",,
Lois Twohig Reserve,Dandenong North,-37.962081,145.21700800000002,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Greater Dandenong,Carlton Road Dandenong North 3175,,"['Greater Dandenong', 'Dandenong North', 'Sports', 'Football']",,
Maurie Jarvis Woodland,Keysborough,-37.996885999999996,145.155004,Australian Rules Football,1.0,Grass,,,Greater Dandenong,Lake Edge Drive Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Football']",,
Noble Park Reserve,Noble Park,-37.97745,145.169162,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,Moodemere Street Noble Park 3174,,"['Greater Dandenong', 'Noble Park', 'Sports', 'Football']",,
Springvale Reserve,Springvale,-37.943645000000004,145.147509,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Greater Dandenong,Ericksen Street Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Football']",,
Thomas P Carroll Reserve,Dandenong,-37.995115000000006,145.226746,Australian Rules Football,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,Box Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Football']",,
Noble Park Community Centre,Noble Park,-37.961328,145.171495,Badminton,3.0,Wooden Gymnasium,4. Good,"Female, Male",Greater Dandenong,Memorial Drive Noble Park 3174,,"['Greater Dandenong', 'Noble Park', 'Sports', 'Badminton']",,
Springers Leisure Centre,Keysborough,-37.995822,145.15391499999998,Badminton,10.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,400 Cheltnam Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Badminton']",,
Dandenong Indoor Sports Stadium,Dandenong North,-37.964203999999995,145.22650900000002,Basketball,15.0,Wooden Gymnasium,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,270 Stud Road Dandenong North 3175,,"['Greater Dandenong', 'Dandenong North', 'Sports', 'Basketball']",,
Hemmings Park,Dandenong,-37.980806,145.208629,BMX,1.0,Dirt,5. Very Good,,Greater Dandenong,Princess Hwy Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports']",,
Alexander Rd Reserve,Dandenong,-37.970923,145.195534,Cricket,1.0,Turf Pitch,,,Greater Dandenong,Alexander Road Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Cricket']",,
Coomoora Rd Reserve,Keysborough,-37.983689,145.149697,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Greater Dandenong,Coomoora Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Cricket']",,
Keysborough Community Park,Keysborough,-37.989447,145.158751,Cricket,1.0,Synthetic Pitch,2. Poor,,Greater Dandenong,Loxwood Avenue Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Cricket']",,
Parkfield Reserve,Noble Park,-37.962026,145.18166100000002,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,Dunblane Road Noble Park 3174,,"['Greater Dandenong', 'Noble Park', 'Sports', 'Cricket']",,
Warner Reserve,Springvale,-37.946034999999995,145.161401,Cricket,1.0,Turf Pitch,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,Flynn Street Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Cricket']",,
WJ Pav Turner Reserve,Noble Park North,-37.947531,145.192879,Cricket,1.0,Synthetic Pitch,4. Good,"Female, Male, Umpire/Officials",Greater Dandenong,Jacksons Road Noble Park North 3174,,"['Greater Dandenong', 'Noble Park North', 'Sports', 'Cricket']",,
Springvale Indoor Sports,Springvale,-37.975114000000005,145.147312,Cricket (Indoor),,,,,Greater Dandenong,546 Springvale Road Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Cricket']",,
Dandenong Croquet & Bowls Club,Dandenong,-37.991802,145.21629099999998,Croquet,1.0,Grass,3. Average,"Female, Male",Greater Dandenong,Pultney Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Croquet']",,
Alphonsa Fitness Centre & Jym,Springvale,-37.949303,145.152029,Fitness / Gymnasium Workouts,1.0,,,,Greater Dandenong,1 Balmoral Avenue Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Gymnasium']",,
Dandenong Oasis,Dandenong,-37.971368,145.217754,Fitness / Gymnasium Workouts,1.0,,4. Good,"Female, Male, Umpire/Officials",Greater Dandenong,Cleeland Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Gymnasium']",,
Dandenong Squash & Leisure,Dandenong,-37.986158,145.206508,Fitness / Gymnasium Workouts,,,,,Greater Dandenong,63 Scott Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Gymnasium']",,
Doherty's 24 Hour Gym Dandenong,Dandenong,-37.989265,145.203498,Fitness / Gymnasium Workouts,,,,,Greater Dandenong,83 Cheltenham Road Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Gymnasium']",,
Genesis Dandenong,Dandenong,-37.985101,145.204549,Fitness / Gymnasium Workouts,1.0,,,,Greater Dandenong,63 Scott Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Gymnasium']",,
Noble Park Aquatic Centre,Noble Park,-37.964727,145.174049,Fitness / Gymnasium Workouts,1.0,,5. Very Good,"Female, Male, Unisex",Greater Dandenong,Memorial Drive Noble Park 3174,,"['Greater Dandenong', 'Noble Park', 'Sports', 'Gymnasium']",,
Re-Creation Health Clubs,Keysborough,-37.994862,145.172709,Fitness / Gymnasium Workouts,1.0,,,,Greater Dandenong,330 Cheltnam Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Gymnasium']",,
Sandown Indoor Tennis & Sports Centre,Springvale,-37.941992,145.16869599999998,Fitness / Gymnasium Workouts,1.0,,,,Greater Dandenong,Brough Street Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Gymnasium']",,
Gaelic Park,Keysborough,-38.029247999999995,145.180444,Gaelic Football,,Grass,,,Greater Dandenong,324 Perry Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Football']",,
Eastern Sward Golf Club,Bangholme,-38.06692,145.179927,Golf,,9 Hole Course - Private,,,Greater Dandenong,Worsley Road Bangholme 3175,,"['Greater Dandenong', 'Bangholme', 'Sports', 'Golf']",,
Keysborough Golf Course,Keysborough,-38.010659000000004,145.149382,Golf,,18 Hole Course - Public,,,Greater Dandenong,Hutton Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Golf']",,
Grips Gym,Dandenong South,-38.022591999999996,145.20395,Gymnastics,,,,,Greater Dandenong,35 Elliott Road Dandenong South 3175,,"['Greater Dandenong', 'Dandenong South', 'Sports', 'Gymnastics']",,
Koala Gymnastic Club,Noble Park,-37.979578000000004,145.171765,Gymnastics,,,,,Greater Dandenong,34 Buckley Street Noble Park 3174,,"['Greater Dandenong', 'Noble Park', 'Sports', 'Gymnastics']",,
JC Mills Reserve,Dandenong,-37.972184999999996,145.218467,Hockey,2.0,Grass,5. Very Good,"Female, Male",Greater Dandenong,Cleeland Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Hockey']",,
Burden Park,Springvale,-37.963132,145.152186,Lawn Bowls,3.0,Grass,5. Very Good,"Female, Male",Greater Dandenong,Heatherton Road Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports']",,
Dandenong Bowls Club,Dandenong,-37.970317,145.22528,Lawn Bowls,2.0,Grass,3. Average,"Female, Male",Greater Dandenong,Heatherton Road Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports']",,
Dandenong Recreation Club,Dandenong,-37.98231,145.219213,Lawn Bowls,2.0,Grass,,,Greater Dandenong,Edith Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports']",,
Willow Lodge Bowls Club,Bangholme,-38.042307,145.2052,Lawn Bowls,1.0,Grass,,,Greater Dandenong,Willow Road Bangholme 3175,,"['Greater Dandenong', 'Bangholme', 'Sports']",,
Sandown Raceway,Springvale,-37.950455,145.165869,Motor Sports,1.0,,,,Greater Dandenong,Racecourse Drive Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Motor Sports']",,
Sporting Shooters Association of Victoria,Springvale,-37.943689,145.170338,Shooting Sports,1.0,,,,Greater Dandenong,710 Dandenong Road Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Shooting']",,
Carrum United Soccer Club,Bangholme,-38.056917,145.209935,Soccer,1.0,Grass,,,Greater Dandenong,Dandenong Valley Hwy Bangholme 3175,,"['Greater Dandenong', 'Bangholme', 'Sports', 'Soccer']",,
George Andrews Reserve,Dandenong,-38.001833000000005,145.211675,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials, Unisex",Greater Dandenong,Deepdale Street Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Soccer']",,
Glendale Reserve,Mulgrave,-37.939349,145.147027,Soccer,2.0,Grass,,,Greater Dandenong,Whitworth Avenue Mulgrave 3170,,"['Greater Dandenong', 'Mulgrave', 'Sports', 'Soccer']",,
Norman Luth Reserve,Springvale,-37.954378999999996,145.140357,Soccer,2.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Greater Dandenong,Heritage Drive Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Soccer']",,
Parkmore Soccer Club,Keysborough,-38.008946,145.16148,Soccer,2.0,Grass,,,Greater Dandenong,Homeleigh Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Soccer']",,
Spring Valley Park,Springvale,-37.969029,145.14644099999998,Soccer,2.0,Grass,,,Greater Dandenong,Springvale Road Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Soccer']",,
The Grenda Aquatic Centre (Haileybury College Pool),Keysborough,-37.994627,145.145307,Swimming,1.0,50m Pool - Outdoor,,,Greater Dandenong,Springvale Road Keysborough 3173,,"['Greater Dandenong', 'Keysborough', 'Sports', 'Swimming']",,
Exhibition Hall,Dandenong,-37.970768,145.21750500000002,Table Tennis,16.0,,,,Greater Dandenong,Heatherton Road Dandenong 3175,,"['Greater Dandenong', 'Dandenong', 'Sports', 'Table Tennis']",,
Springvale South Tennis Club,Springvale,-37.97299,145.149683,Tennis (Indoor),6.0,Hard Court,5. Very Good,"Female, Male",Greater Dandenong,Mackay Street Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Tennis']",,
Noble Park Uniting Tennis Club,Noble Park,-37.966384000000005,145.172978,Tennis (Outdoor),2.0,Artificial Turf,,,Greater Dandenong,Frank Street Noble Park 3174,,"['Greater Dandenong', 'Noble Park', 'Sports', 'Tennis']",,
Rosewood Tennis Club,Noble Park North,-37.945828999999996,145.219213,Tennis (Outdoor),6.0,Artificial Turf,,,Greater Dandenong,Somerset Drive Noble Park North 3174,,"['Greater Dandenong', 'Noble Park North', 'Sports', 'Tennis']",,
Springvale Tennis Club,Springvale,-37.943258,145.157616,Tennis (Outdoor),8.0,Artificial Turf,,,Greater Dandenong,Furnew Street Springvale 3171,,"['Greater Dandenong', 'Springvale', 'Sports', 'Tennis']",,
National Water Sports Centre,Bangholme,-38.056399,145.149068,Water Skiing,,,,,Greater Dandenong,Riverend Road Bangholme 3175,,"['Greater Dandenong', 'Bangholme', 'Sports', 'Skiing']",,
Heimat Centre,Doncaster,-37.778054,145.127474,Aerobics,3.0,,5. Very Good,,Manningham,125 George Street Doncaster 3108,,"['Manningham', 'Doncaster', 'Sports', 'Aerobics']",,
Bulleen Park,Bulleen,-37.773844,145.074054,Archery,1.0,Outdoor Archery,,,Manningham,Bulleen Road Bulleen 3105,,"['Manningham', 'Bulleen', 'Sports']",,
Rieschiecks Reserve,East Doncaster,-37.779388,145.14701499999998,Athletics,1.0,Synthetic Running Track,4. Good,"Female, Male",Manningham,George Street East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Athletics']",,
Colman Park,South Warrandyte,-37.766265999999995,145.237667,Australian Rules Football,1.0,Grass,4. Good,Male,Manningham,64-76 Croydon Road South Warrandyte 3134,,"['Manningham', 'South Warrandyte', 'Sports', 'Football']",,
Domeney Reserve,Park Orchards,-37.774361,145.218816,Australian Rules Football,1.0,Grass,5. Very Good,"Female, Male, Umpire/Officials",Manningham,Knees Road Park Orchards 3114,,"['Manningham', 'Park Orchards', 'Sports', 'Football']",,
Doncaster Reserve,East Doncaster,-37.788628,145.15131599999998,Australian Rules Football,1.0,Grass,4. Good,"Umpire/Officials, Unisex",Manningham,Leeds Street East Doncaster 3109,,"['Manningham', 'East Doncaster', 'Sports', 'Football']",,
