Municipality,Place Name,Feature Type Code,Feature Type,Longitude,Latitude,Historical Information,Url,Organisation Name
CASEY CITY,ROD LAVIN RESERVE,PARK,PARK,145.2616254,-37.9929397,,,
CENTRAL GOLDFIELDS SHIRE,RODBOROUGH,PRSH,PARISH,143.9084722,-37.1459722,,,
GREATER GEELONG CITY,RODBROUGH CRESCENT PLAYGROUND,PARK,PARK,144.360111,-38.0682577,,,
MOYNE SHIRE,RODGER HENDERSON OVAL,PARK,PARK,142.6181472,-38.2780222,,,
MILDURA RURAL CITY,RODGER STREET DRAINAGE RESERVE,PARK,PARK,142.1660979,-34.2099518,,,
HUME CITY,ROGER FREE PARK,PARK,PARK,144.7213818,-37.5821888,"Roger Free lived in Pasley Street, Sunbury, for more than 70 years.  He was an active and well respected member of the local community.  A plaque in the park commemorates his commitment and dedication to establishing and maintaining the park.",,Hume City Council
MORNINGTON PENINSULA SHIRE,ROGER PENMAN RESERVE,PARK,PARK,144.7784722,-38.3620833,A resident who made significant contributions to the Southern Peninsula and Blairgowrie townships and was responsible for bringing the Lions Clubs to the Peninsula. The children's playground situated on the reserve was developed by the local Lions Club.,,
MITCHELL SHIRE,ROKEBY,MONU,MONUMENT,145.1670833,-37.0934722,,,
MARIBYRNONG CITY,ROLLING MILL GREEN,PARK,PARK,144.8922822,-37.7862074,,,
YARRA RANGES SHIRE,ROMA RESERVE,PARK,PARK,145.3249885,-37.905593,"'The Reserve was set aside when the Roma Estate was subdivided and offered for auction on April 3rd 1915 by the owner, Mr. Lesley James Wemyss.  In 1924 Mr. Wemyss gave a block of land to the Upwey Progress Association and it appears that at that time the property was known as 'The Roma Lookout' or 'Roma's Lookout' in honour of Mr. Wemyss' daughter, Roma.'",,
GREATER BENDIGO CITY,ROMANY RYE WINERY,WINE,WINERY,144.5326389,-36.9548611,,,
MORNINGTON PENINSULA SHIRE,ROMNEY PARK,PARK,PARK,144.8471929,-38.3715004,,,
MELBOURNE CITY,RON BARASSI SENIOR PARK,PARK,PARK,144.9339657,-37.8171618,,,
GREATER GEELONG CITY,RON EVANS OVAL,PARK,PARK,144.6436111,-38.1136111,"In honour of Mr Ron Evans, who served the Club of the Portarlington Recreation Reserve for a period of 43 years, contributing under various roles, President, Secretary, Treasurer and mentor.    ",,
CENTRAL GOLDFIELDS SHIRE,RON SINCLAIR RESERVE,PARK,PARK,143.7284806,-37.0535261,,,
WHITEHORSE CITY,RONALD E GRAY RESERVE,PARK,PARK,145.1790278,-37.8065278,,,
LATROBE CITY,RONALD RESERVE,PARK,PARK,146.4230593,-38.2315544,,,
GREATER BENDIGO CITY,ROSALIND PARK,PARK,PARK,144.2765619,-36.754775,,,
BANYULE CITY,ROSANNA EAST,NBHD,NEIGHBOURHOOD,145.0890278,-37.7376389,"'An early settler built a place which he called 'Rosanna House,' upon an Estate to which he had given the same name.'",,
BANYULE CITY,ROSANNA EAST,NBHD,NEIGHBOURHOOD,145.0890278,-37.7376389,"Rosanna. The suburb was named for Elizabeth Anne Rose, the wife of James Watson, both Scottish immigrants (information supplied by Lenore Frost, Essendon Historical Society, April 2004). ",http://www.rampantscotland.com/placenames/placename_melbourne.htm,
BANYULE CITY,ROSANNA FIRE STATION COMMUNITY HOUSE,COCE,COMMUNITY CENTRE,145.072561,-37.738898,,,
BANYULE CITY,ROSANNA GOLF CLUB,PARK,PARK,145.1025472,-37.7455889,"'An early settler built a place which he called 'Rosanna House,' upon an Estate to which he had given the same name.'",,
BANYULE CITY,ROSANNA PARKLANDS,PARK,PARK,145.0671072,-37.7361277,"'An early settler built a place which he called 'Rosanna House,' upon an Estate to which he had given the same name.'",,
MOIRA SHIRE,ROSBERCON VINEYARDS,VINE,VINEYARD,145.0931944,-35.9881944,,,
CENTRAL GOLDFIELDS SHIRE,ROSCHOLLER PARK,PARK,PARK,143.75125,-37.0447708,,,
CASEY CITY,ROSE RESERVE,PARK,PARK,145.2293056,-37.9920833,,,
NORTHERN GRAMPIANS SHIRE,ROSEA CAMPING GROUNDS,CAGR,CAMP GROUND,142.5020833,-37.1790278,,,
NORTHERN GRAMPIANS SHIRE,ROSEA TURNTABLE,PARK,PARK,142.5018056,-37.1793056,,,
YARRIAMBIACK SHIRE,ROSEBERRY,NBHD,NEIGHBOURHOOD,142.4218056,-35.8326389,"It was named after the Earl of Rosebery, who toured eastern Australia in 1883-84 and was Britain's Prime Minister in 1894.",https://www.victorianplaces.com.au/rosebery,
BULOKE SHIRE,ROSEBERRY EAST,NBHD,NEIGHBOURHOOD,142.60125,-35.8348611,,,
MORNINGTON PENINSULA SHIRE,ROSEBUD COMMUNITY HOUSE,COCE,COMMUNITY CENTRE,144.889626,-38.371284,,,
MORNINGTON PENINSULA SHIRE,ROSEBUD COUNTRY CLUB,PARK,PARK,144.8993056,-38.37875,,,
MORNINGTON PENINSULA SHIRE,ROSEBUD LIFESAVING CLUB,LICL,LIFESAVING CLUB,144.9272222,-38.3483333,,,
MORNINGTON PENINSULA SHIRE,ROSEBUD PUBLIC PARK,PARK,PARK,144.9234722,-38.3701389,,,
MORNINGTON PENINSULA SHIRE,ROSEBUD SOUTH,NBHD,NEIGHBOURHOOD,144.9173611,-38.3870833,,,
WELLINGTON SHIRE,ROSEDALE,PRSH,PARISH,146.76375,-38.1970833,"'Named after Mrs. Rose Okeden, wife of a run holder.'",,
WELLINGTON SHIRE,ROSEDALE RACECOURSE RESERVE,PARK,PARK,146.8121239,-38.1730921,,,
WELLINGTON SHIRE,ROSEDALE RECREATION RESERVE,PARK,PARK,146.7734507,-38.1529393,"'Named after Mrs. Rose Okeden, wife of a run holder.'",,
WELLINGTON SHIRE,ROSEDALE SKATE PARK,PARK,PARK,146.7863346,-38.1520807,,,
STRATHBOGIE SHIRE,ROSEHILL MONUMENT,MONU,MONUMENT,145.5184722,-36.96125,,,
GREATER GEELONG CITY,ROSELLA CRT PLAYGROUND,PARK,PARK,144.3533328,-38.0891478,,,
WEST WIMMERA SHIRE,ROSENEATH,PRSH,PARISH,141.1729167,-37.3895833,,,
GLENELG SHIRE,ROSENEATH,NBHD,NEIGHBOURHOOD,141.2718056,-37.4426389,,,
GLENELG SHIRE,ROSENEATH,NBHD,NEIGHBOURHOOD,141.2895833,-37.4498611,,,
WEST WIMMERA SHIRE,ROSENEATH RESERVE,PARK,PARK,141.2220833,-37.4034722,,,
NORTHERN GRAMPIANS SHIRE,ROSES GAP RECREATION CENTRE,PARK,PARK,142.45375,-36.9598611,Traditional name: Barregowa. 'The middle of the mountains',,
GREATER GEELONG CITY,ROSEWALL,NBHD,NEIGHBOURHOOD,144.3679167,-38.0651389,,,
MORNINGTON PENINSULA SHIRE,ROSINA STREET RESERVE,PARK,PARK,144.7920864,-38.3853071,,,
HINDMARSH SHIRE,ROSS LAKE,LAKE,LAKE,141.9250995,-35.8144705,,,
GREATER DANDENONG CITY,ROSS RESERVE,PARK,PARK,145.1723989,-37.9613951,,,
HOBSONS BAY CITY,ROSS STREET RESERVE,PARK,PARK,144.8816099,-37.8379043,,,
BANYULE CITY,ROSSI PARK,PARK,PARK,145.0390144,-37.7645014,"In 1913, B.V. Rossi, a recent immigrant, bought six acres in Ford Street. He became a famous rose grower, winning 120 championships, many medals and first prizes.  His book ""Modern Roses of Australasia"" sold all over the world.",,Banyule City Council
BAW BAW SHIRE,ROSWORTH,NBHD,NEIGHBOURHOOD,146.0790278,-38.0540278,,,
PYRENEES SHIRE,ROSYTH,NBHD,NEIGHBOURHOOD,143.46375,-37.1793056,,,
PYRENEES SHIRE,ROSYTH,NBHD,NEIGHBOURHOOD,143.4568056,-37.1731944,,,
MORNINGTON PENINSULA SHIRE,ROSYTH ROAD RESERVE,PARK,PARK,145.1529904,-38.358333,,,
MORNINGTON PENINSULA SHIRE,ROTARACT PARK,PARK,PARK,145.1878135,-38.2564414,,,
BASS COAST SHIRE,ROTARY CENTENARY PARK,PARK,PARK,145.7225086,-38.6391359,Recognises the contribution the Rotary Club made to the park facilities and the Inverloch community over a number of years.,,
GREATER GEELONG CITY,ROTARY CENTENNIAL PARK,PARK,PARK,144.3286455,-38.1564198,"Previously known informally as 'Barwon Side Quarry', the park is named to recognise the centenary of Rotary International in February 2005.",,Greater Geelong City Council
NILLUMBIK SHIRE,ROTARY CENTENNIAL PARK,PARK,PARK,145.1520833,-37.6740278,"Named after The Rotary Club of Diamond Creek, as part of their Centennial Project.  ",,
MORNINGTON PENINSULA SHIRE,ROTARY PARK,PARK,PARK,145.0918745,-38.182551,,,
BRIMBANK CITY,ROTARY PARK,PARK,PARK,144.7668056,-37.7670833,"Mr Burnside and family farmed the area for many years, and were one of the first settlers in the West. Originally from Scotland, they pioneered the West,and were very active within the growing community of the time. Council named a street in Deer Park in memory of the Burnside family. ",,
CAMPASPE SHIRE,ROTARY PARK,PARK,PARK,144.7345053,-36.1468493,,,
HOBSONS BAY CITY,ROTARY PARK,PARK,PARK,144.9049362,-37.8671803,,,
GREATER BENDIGO CITY,ROTARY PARK,PARK,PARK,144.2440083,-36.7880258,,,
ALPINE SHIRE,ROTARY PARK,PARK,PARK,146.7123433,-36.5543245,,,
CORANGAMITE SHIRE,ROTARY PARK,PARK,PARK,143.0769266,-38.3265161,,,
MORNINGTON PENINSULA SHIRE,ROTARY PARK,PARK,PARK,145.187248,-38.3124618,,,
EAST GIPPSLAND SHIRE,ROTARY PARK EAST,PARK,PARK,147.6184946,-37.8230765,,,
EAST GIPPSLAND SHIRE,ROTARY PARK WEST,PARK,PARK,147.5985394,-37.8191987,,,
GREATER GEELONG CITY,ROTELLA AVENUE PLAYGROUND,PARK,PARK,144.3650695,-38.0718309,,,
BENALLA RURAL CITY,ROTHESAY,PRSH,PARISH,146.0698611,-36.7073611,,,
GREATER GEELONG CITY,ROTHWELL,NBHD,NEIGHBOURHOOD,144.4926389,-37.9895833,A township was planned in 1852 where the Geelong to Melbourne road crossed the Little River but was not developed.  The name is English and found in Yorkshire and Northamptonshire.  The neighbourhood name refers to this earlier history.,,
WYNDHAM CITY,ROTHWELL RESERVE,PARK,PARK,144.5089882,-37.9748458,,,
GANNAWARRA SHIRE,ROUND LAKE,LAKE,LAKE,143.8024457,-35.8528032,,,
YARRIAMBIACK SHIRE,ROUND LAKE,LAKE,LAKE,142.0080585,-35.5653175,Descriptive. Named in 1957 and regarded by Ian Maroske as 'one of the prettiest spots in all of Wyperfeld'. ,,
SWAN HILL RURAL CITY,ROUND LAKE,LAKE,LAKE,143.6092678,-35.4699057,"Traditional Name: Kunert-kunert Explanation: lot of cotton weed Discussion on Current Name: Stone 1911: 435,  Massola 1968: 43.",http://www.vaclang.org.au,
UNKNOWN,ROW CAMPING RESERVE,PARK,PARK,,,"'It was proposed to honour an elderly resident of the area who had contributed greatly, over a period of 45 years, to the public life of the shire.' 'Kenneth S. B. Row'",,
KNOX CITY,ROW RESERVE,PARK,PARK,145.2266202,-37.9214719,"Reflects the name of the pioneering family of the district, and the owner of the historic Stamford Park Homestead. ",,
MACEDON RANGES SHIRE,ROWALLEN SCOUT CAMP,CAGR,CAMP GROUND,144.6904167,-37.4148611,,,
CASEY CITY,ROWAN RESERVE,PARK,PARK,145.2363426,-37.9864264,,,
INDIGO SHIRE,ROWBOTTOM GULLY,HISI,HISTORIC SITE,146.7469444,-36.3711111,"Following discussions with a Registered Planner it was determined that the name Rawbottom Gully Registered as a watercourse in the Register of Geographic Names is not appropriate. Upon reviewing the Map Source provided, along with the Place Names Committee (PNC) file index, the sources listed do not display the name Rawbottom Gully. The watercourse on a number of maps is unnamed.

Additional research undertaken by the Registered Planner, OGN and a local historical society found no reason why the name should exist in its current location. Research also found an alternative name, that being Rowbottom Gully, possible located further to the west. All correspondence and attachments have been printed and added to OGN file FOL/14/62172.  The original record was supposedly taken from a paper map in 1966. The date corresponds with other records which the PNC added to a register in 1966.

Based on the research and conversations between the Registered Planner, OGN and the Registrar of Geographic Names the record was un-linked from the Vicmap extent and the feature type was changed to Historic Site.",,Office of Geographic Names
MOIRA SHIRE,ROWE CAMP,CAGR,CAMP GROUND,145.2140278,-35.84125,,,
GOLDEN PLAINS SHIRE,ROWE MONUMENT,MONU,MONUMENT,143.5156944,-37.8568056,,,
BOROONDARA CITY,ROWELL AVENUE RESERVE,PARK,PARK,145.0619477,-37.8364093,,,
GANNAWARRA SHIRE,ROWLANDS,NBHD,NEIGHBOURHOOD,144.1456944,-35.8745833,,,
GREATER DANDENONG CITY,ROWLEY ALLAN RESERVE,PARK,PARK,145.1672092,-37.9945835,,,
MILDURA RURAL CITY,ROWNACK,NBHD,NEIGHBOURHOOD,142.4676389,-35.1909722,,,
KNOX CITY,ROWVILLE COMMUNITY CENTRE,COCE,COMMUNITY CENTRE,145.238286,-37.918812,,,
KNOX CITY,ROWVILLE RESERVE,PARK,PARK,145.2259722,-37.9415278,,,
MAROONDAH CITY,ROY PITMAN PLANTATION,PARK,PARK,145.2930278,-37.7878694,,,
MELBOURNE CITY,ROYAL AGRICULTURAL SHOWGROUNDS,PARK,PARK,144.9118056,-37.7831944,,,
MORNINGTON PENINSULA SHIRE,ROYAL BEACH,BEAC,BEACH,145.0332872,-38.2175346,,,
MELBOURNE CITY,ROYAL BOTANIC GARDENS,BOGA,BOTANIC GARDENS,144.9784722,-37.8293056,"Traditional Name: Tromgin Explanation: N/A Discussion on Current Name: according to William Thomas (30/4/1846 in VPRS 4410, Item 86), the n of the swamp later remodelled to form the lake at the Royal Botanic Gardens. Became a frequent place of habitation for Boonwurrung, Daungwurrung and Woiwurrung people,  William Thomas 30/4/1846 in VPRS 4410, Item 86.",http://www.vaclang.org.au,
CASEY CITY,ROYAL BOTANIC GARDENS CRANBOURNE,BOGA,BOTANIC GARDENS,145.2781944,-38.1315278,,,
GREATER GEELONG CITY,ROYAL GEELONG YACHT CLUB,SPFA,SPORT FACILITY,144.36625,-38.1454167,,,
MELBOURNE CITY,ROYAL PARK,PARK,PARK,144.9539604,-37.7870119,"Kulin name: Quor-nÿ³ng. Meaning not recorded. 
This name was recorded by A. W. Howitt, anthropologist, from conversations from sometime between 1897 and 1901 with William Barak, ngurungaeta (leader) of the Wurundjeri-willam, the traditional owners of what is now northern Melbourne, and Dick Richards, Barak's fellow Kulin countryman. The Kulin was an alliance of Aboriginal nations in central Victoria. Howitt jotted down Aboriginal names, mostly in the Woiwurrung language once spoken in the Melbourne area, corresponding to landmarks and municipalities that arose in Melbourne town during Barak's lifetime (c.1824 to 1903).",theconversation.com/rediscovered-the-aboriginal-names-for-ten-melbourne-suburbs-99139,
MELBOURNE CITY,ROYAL PARK,PARK,PARK,144.9474636,-37.7855083,"Kulin name: Quor-nÿ³ng. Meaning not recorded. 

This name was recorded by A. W. Howitt, anthropologist, from conversations from sometime between 1897 and 1901 with William Barak, ngurungaeta (leader) of the Wurundjeri-willam, the traditional owners of what is now northern Melbourne, and Dick Richards, Barak's fellow Kulin countryman. The Kulin was an alliance of Aboriginal nations in central Victoria. Howitt jotted down Aboriginal names, mostly in the Woiwurrung language once spoken in the Melbourne area, corresponding to landmarks and municipalities that arose in Melbourne town during Barak's lifetime (c.1824 to 1903).",theconversation.com/rediscovered-the-aboriginal-names-for-ten-melbourne-suburbs-99139,
CENTRAL GOLDFIELDS SHIRE,ROYAL PARK,PARK,PARK,143.7431944,-37.0298611,,,
YARRIAMBIACK SHIRE,RUBBLE LAKE,LAKE,LAKE,142.0202169,-35.5637518,Descriptive. A small lake bed near Round Lake unlike any other in the park with dark crumbly copi soil evenly strewn with large pebbles of limestone. ,,
DAREBIN CITY,RUBIE THOMPSON RESERVE,PARK,PARK,145.0154041,-37.7717758,,,
MACEDON RANGES SHIRE,RUBY MCKENZIE PARK,PARK,PARK,144.5402974,-37.3549875,"'In honour of the late Ruby McKenzie, a prominent citizen who served as a Councillor for 20 years and was involved in many community and sporting activities.'",,
GREATER DANDENONG CITY,RUDDUCK RESERVE,PARK,PARK,145.2223611,-37.98625,"Named after an early settler family, the first of whom was Samuel Rudduck (1836-1903), a Londoner who arrived in Melbourne in 1852 and settled in Dandenong in 1859.",,
MANNINGHAM CITY,RUFFEY LAKE PARK,PARK,PARK,145.1382758,-37.7756715,,,
STRATHBOGIE SHIRE,RUFFY,PRSH,PARISH,145.4973611,-36.9529167,,,
STRATHBOGIE SHIRE,RUFFY RECREATION RESERVE,PARK,PARK,145.5154167,-36.9684722,,,
SOUTH GIPPSLAND SHIRE,RUM BUG CAMP,CAGR,CAMP GROUND,146.1929167,-38.5793056,,,
UNKNOWN,RUNDELL,NBHD,NEIGHBOURHOOD,,,"Named after local settler, C.A. Rundell, who held the grazing licence for Flourbag Plain.",,
CAMPASPE SHIRE,RUNNYMEADE,NBHD,NEIGHBOURHOOD,144.6243056,-36.5340278,,,
CAMPASPE SHIRE,RUNNYMEADE EAST,NBHD,NEIGHBOURHOOD,144.7101389,-36.5393056,,,
CAMPASPE SHIRE,RUNNYMEDE,PRSH,PARISH,144.6851389,-36.5479167,,,
YARRIAMBIACK SHIRE,RUPANYUP,PRSH,PARISH,142.5901389,-36.6031944,"Traditional name: Rubunyup. 'Name given to an overhanging tree near the Korong Swamp,'",,
YARRIAMBIACK SHIRE,RUPANYUP,PRSH,PARISH,142.5901389,-36.6031944,"Traditional Name: Rupanyup Explanation: N/A Discussion on Current Name: swamp NW of Rupanyup,  According to O'Callaghan 1918: 83, Rupanyup is the n given to a tree overhanging the Korong Swamp, where Aboriginal people used to camp,  O'Callaghan 1918: 83.",http://www.vaclang.org.au,
YARRIAMBIACK SHIRE,RUPANYUP NORTH,NBHD,NEIGHBOURHOOD,142.6401389,-36.5329167,"Traditional name: Rubunyup. 'Name given to an overhanging tree near the Korong Swamp,'",,
NORTHERN GRAMPIANS SHIRE,RUPANYUP SOUTH,NBHD,NEIGHBOURHOOD,142.6315278,-36.7123611,"Traditional name: Rubunyup. 'Name given to an overhanging tree near the Korong Swamp,'",,
MOORABOOL SHIRE,RUPERT VANCE MOON RESERVE,PARK,PARK,144.4721273,-37.6840678,"Named in honour of Lieutenant Rupert Vance Moon VC, the only Victoria Cross winner to be born in Bacchus Marsh. 'Vance' honours the doctor who brought Rupert into the world.",,Moorabool Shire Council
YARRA CITY,RUSHALL,NBHD,NEIGHBOURHOOD,144.9890278,-37.7826389,,,
MOYNE SHIRE,RUSSELL CLARK RESERVE,PARK,PARK,142.2310055,-38.3895195,Named after an active member of the local community who had been a borough councillor from 1974 to 1992 and who oversaw the transformation of waste land into a public nature and recreation reserve.,,
WODONGA CITY,RUSSELL COCHRANE PARK,PARK,PARK,146.8766909,-36.1178534,,,
CORANGAMITE SHIRE,RUSSELL MOCKRIDGE PARK,PARK,PARK,143.1442639,-38.2269679,,,
GREATER GEELONG CITY,RUSSELL SHARP RESERVE,PARK,PARK,144.3878192,-38.1773478,,,
BALLARAT CITY,RUSSELL SQUARE,PARK,PARK,143.8846795,-37.5558492,,,
DAREBIN CITY,RUTHVEN,NBHD,NEIGHBOURHOOD,145.0056944,-37.7090278,This locality was named after local resident and World War I Victoria Cross winner William Ruthven.,https://www.heraldsun.com.au/news/victoria/the-az-story-of-melbournes-suburbs/news-story/6f7611b7df2,
DAREBIN CITY,RUTHVEN,NBHD,NEIGHBOURHOOD,145.0056944,-37.7090278,"Ruthven (Aberdeenshire, Angus, Scottish Borders, Highland and Moray). The railway station and surrounding neighbourhood in the suburb of Reservoir were named in honour of local resident and WWI Victoria Cross recipient William Ruthven (Brown-May & Swain, 2005, p. 627). ",http://www.rampantscotland.com/placenames/placename_melbourne.htm,
WELLINGTON SHIRE,RYAN COVE,BAY,BAY,146.7891907,-37.898273,'The name Ryan is that which has traditionally been used by local residents to indicate the first of the three Coves on the north shoreline of Glenmaggie.  Ryan was an original settler in the area and opened up much of the country on which Coongul now stands.',,
SWAN HILL RURAL CITY,RYANBY,NBHD,NEIGHBOURHOOD,143.1209722,-35.2273611,,,
NILLUMBIK SHIRE,RYANS RESERVE,PARK,PARK,145.1574096,-37.6680674,,,
NILLUMBIK SHIRE,RYDERS FLAT,PARK,PARK,145.2059722,-37.5848611,,,
MORNINGTON PENINSULA SHIRE,RYE OCEAN BEACH,BEAC,BEACH,144.823986,-38.4186908,,,
BAW BAW SHIRE,RYSON CREEK CAMP,CAGR,CAMP GROUND,145.8170833,-37.9759722,,,
EAST GIPPSLAND SHIRE,Rame Head Area,COPA,CONSERVATION PARK,149.3895667,-37.772575,,,
ALPINE SHIRE,Razor-Viking Wilderness Zone,PARK,PARK,146.6806222,-37.1147556,,,
BENALLA RURAL CITY,Reef Hills State Park,COPA,CONSERVATION PARK,145.9367722,-36.5965139,,,
WODONGA CITY,Richardson Park,PARK,PARK,146.8864194,-36.1201667,"Richardson Park recognises the collective contribution of the Richardson family to the region over a long period of time, particularly to the beef cattle industry. Robert 'Bob' Richardson, a Wodonga Shire councillor in the 1930s, was instrumental in the construction of municipal stockyards in Wodonga, which were on the Junction Place site.",https://www.development.vic.gov.au/news/news-articles/wodonga-celebrates-new-park-opening-at-junctio,
BAYSIDE CITY,Ricketts Point Marine Sanctuary,NAPA,NATIONAL PARK,145.0295917,-37.9920917,,,
MAROONDAH CITY,Ringwood Lake Park,PARK,PARK,145.2356722,-37.8126639,,,
MELTON CITY,River View Reserve,PARK,PARK,144.5492944,-37.6702278,,,
MELTON CITY,Riverside Concourse Reserve,PARK,PARK,144.5839528,-37.7143778,,,
WELLINGTON SHIRE,Rosedale Recreation Reserve,PARK,PARK,146.7799728,-38.1557024,,,
WELLINGTON SHIRE,Rosedale Recreation and Public Park Reserve,PARK,PARK,146.7799728,-38.1557024,,,
MELTON CITY,Rosina Drive Reserve,PARK,PARK,144.570075,-37.6870028,,,
MELTON CITY,Rowling Street Reserve,PARK,PARK,144.7268056,-37.6950056,,,
MELTON CITY,Royal Crescent Reserve,PARK,PARK,144.7391306,-37.6890306,,,
MAROONDAH CITY,Russell Lucas Oval,PARK,PARK,145.2328778,-37.8235972,,,
MILDURA RURAL CITY,S C MILLS RESERVE,PARK,PARK,142.1465689,-34.1919176,,,
MORELAND CITY,S COLE RESERVE,PARK,PARK,144.9406944,-37.7206944,"'Stanley Cole, J. P., was a Councillor from 3rd August, 1933 to August 1935, and from August 1936 to August 1960.  He was Mayor in 1938/39, 1948/9 and 1957/58.  He was vitally interested in the R.S.L Youth Work and sporting activities in the City and his work in these areas was greatly appreciated.'",,
HOBSONS BAY CITY,S FELL RESERVE,PARK,PARK,144.84375,-37.8604167,"Named for a former CEO, Deputy Town Clark and Town Clark of City of Altona.",,
HOBSONS BAY CITY,S G MCINTOSH RESERVE,PARK,PARK,144.8451669,-37.8650261,,,
MORELAND CITY,S GANDOLFO GARDENS,PARK,PARK,144.9626389,-37.7526389,"'Salvatore Gandolfo, J.P. was a Councillor from 1965 to 1974 and was Mayor of the City during the Mayoral Year 1968/69.'",,
HOBSONS BAY CITY,S J CLEMENT RESERVE,PARK,PARK,144.8528688,-37.846354,"'Mayor - City of Altona 1979/80, 1987/88'",,
ALPINE SHIRE,S K PEARCE GARDENS,PARK,PARK,147.1703226,-36.7424327,"Name honours Mr S.K. (Keith) Pearce, a popular local councillor for the Mount Beauty area and shire president twice.",,
MORNINGTON PENINSULA SHIRE,S L BUTLER RESERVE,PARK,PARK,145.0493863,-38.2211505,,,
MAROONDAH CITY,SACRED HEART MONASTERY,MONA,MONASTERY,145.2722222,-37.7980556,,,
NILLUMBIK SHIRE,SADDLE RIDGE PARK,PARK,PARK,145.3023611,-37.6804167,,,
HOBSONS BAY CITY,SADLER RESERVE,PARK,PARK,144.8928425,-37.866835,,,
MORNINGTON PENINSULA SHIRE,SAFETY BEACH,BEAC,BEACH,144.9833485,-38.321416,,,
MARIBYRNONG CITY,SAIGON WELCOME ARCH,MONU,MONUMENT,144.9010467,-37.7997902,,,
HEPBURN SHIRE,SAILORS FALLS RESERVE,PARK,PARK,144.1168056,-37.3890278,,,
BRIMBANK CITY,SAINT ALBANS,NBHD,NEIGHBOURHOOD,144.8041667,-37.7363889,,,
BRIMBANK CITY,SAINT ALBANS EAST,NBHD,NEIGHBOURHOOD,144.81625,-37.7498611,,,
BRIMBANK CITY,SAINT ALBANS EAST,NBHD,NEIGHBOURHOOD,144.8218056,-37.7545833,,,
GREATER GEELONG CITY,SAINT ALBANS PARK,PARK,PARK,144.38125,-38.1770833,,,
BRIMBANK CITY,SAINT ALBANS SOUTH,NBHD,NEIGHBOURHOOD,144.8126389,-37.7534722,,,
BRIMBANK CITY,SAINT ALBANS SOUTH,NBHD,NEIGHBOURHOOD,144.8045833,-37.7568056,,,
NILLUMBIK SHIRE,SAINT ANDREWS,NBHD,NEIGHBOURHOOD,145.2748611,-37.6015278,,,
MORNINGTON PENINSULA SHIRE,SAINT ANDREWS BEACH,BEAC,BEACH,144.834868,-38.4270854,,,
MORNINGTON PENINSULA SHIRE,SAINT ANDREWS BEACH,NBHD,NEIGHBOURHOOD,144.8395833,-38.4254167,,,
NILLUMBIK SHIRE,SAINT ANDREWS NORTH,NBHD,NEIGHBOURHOOD,145.3026389,-37.5731944,,,
MOORABOOL SHIRE,SAINT ANNES WINERY,WINE,WINERY,144.3248611,-37.6140278,,,
NORTHERN GRAMPIANS SHIRE,SAINT ARNAUD EAST,NBHD,NEIGHBOURHOOD,143.3081944,-36.6165278,,,
YARRA RANGES SHIRE,SAINT BENEDICTS,NBHD,NEIGHBOURHOOD,145.6493056,-37.8623611,,,
BAW BAW SHIRE,SAINT CLAIR,NBHD,NEIGHBOURHOOD,146.16625,-37.6176389,"Parish, south-eastern Big River catchment (east of Youarrabuk parish), including the upper reaches of Oaks, Springs and Frenchman's Creeks. Locality, Warburton Woods Point Road, at the junction with Thomson Jordan Divide Road; also called Sinclair's Valley. Named after John Sinclair's St. Clair Hotel (the surname Sinclair is derived from St. Clair place-names in France). Other hotels in Yarra Track days included the Spring Vale and the Nonpareil (originally called the ""Willie We Have Miss'd You""). St. Clair was a small village from 1862 until the 1870s. The Jessop (or Jessop Phoschek) Airstrip, a fire-bombing base, is in the Thomson State Forest* nearby. See also The Springs.",,
WEST WIMMERA SHIRE,SAINT EVINS,NBHD,NEIGHBOURHOOD,141.6879167,-37.1056944,,,
MURRINDINDI SHIRE,SAINT FILLANS,NBHD,NEIGHBOURHOOD,145.66875,-37.54375,"Settlement, now absorbed by the north end of Narbethong, around a guest house built by The Hon. James Munro, and named after the village of St. Fillan's by Loch Earn, Tayside, Scotland. Had its own post office, 1898 - 1930. Gaelic: Faolan, little wolf (faol).",,
HEPBURN SHIRE,SAINT GEORGES LAKE,LAKE,LAKE,143.910066,-37.4331419,,,
KINGSTON CITY,SAINT GEORGES PARK,PARK,PARK,145.0812698,-37.9602713,,,
GREATER SHEPPARTON CITY,SAINT GERMAINS,NBHD,NEIGHBOURHOOD,145.1681944,-36.24625,"Traditional Name: Yandarra Explanation: N/A Discussion on Current Name: H. Walker first held stn 1844, known as Mundoona 1875, Wyuna September 1875, St Germains August 1878,  SG in Smyth 1878b: 198.",http://www.vaclang.org.au,
BANYULE CITY,SAINT HELENA BUSH RESERVE,PARK,PARK,145.1387197,-37.6925988,"Proposal from local shire in 1992.  Reason was not given in correspondence with PNC, but note that St Helena Secondary College is nearby.",,
MOYNE SHIRE,SAINT HELENS,NBHD,NEIGHBOURHOOD,142.06875,-38.2565278,,,
HORSHAM RURAL CITY,SAINT HELENS,NBHD,NEIGHBOURHOOD,142.4084722,-36.7676389,,,
GREATER GEELONG CITY,SAINT HELENS BEACH,BEAC,BEACH,144.3599785,-38.1202802,,,
HORSHAM RURAL CITY,SAINT HELENS PLAINS,NBHD,NEIGHBOURHOOD,142.4084722,-36.7676389,,,
BASS COAST SHIRE,SAINT HELIER,NBHD,NEIGHBOURHOOD,145.6006944,-38.3945833,,,
